ip,color
192.168.100.1,[0.12156863 0.46666667 0.70588235 1.        ]
100.65.192.3,[0.12156863 0.46666667 0.70588235 1.        ]
10.2.186.125,[0.68235294 0.78039216 0.90980392 1.        ]
10.0.1.96,[1.         0.49803922 0.05490196 1.        ]
170.51.254.172,[1.         0.49803922 0.05490196 1.        ]
104.44.196.39,[1.         0.73333333 0.47058824 1.        ]
104.44.231.100,[0.17254902 0.62745098 0.17254902 1.        ]
104.44.34.20,[0.59607843 0.8745098  0.54117647 1.        ]
104.44.28.27,[0.59607843 0.8745098  0.54117647 1.        ]
104.44.28.203,[0.83921569 0.15294118 0.15686275 1.        ]
104.44.17.175,[1.         0.59607843 0.58823529 1.        ]
104.44.29.145,[0.58039216 0.40392157 0.74117647 1.        ]
104.44.29.9,[0.58039216 0.40392157 0.74117647 1.        ]
104.44.7.145,[0.77254902 0.69019608 0.83529412 1.        ]
104.44.18.56,[0.54901961 0.3372549  0.29411765 1.        ]
104.44.16.49,[0.76862745 0.61176471 0.58039216 1.        ]
104.44.7.43,[0.76862745 0.61176471 0.58039216 1.        ]
104.44.17.68,[0.89019608 0.46666667 0.76078431 1.        ]
104.44.17.20,[0.96862745 0.71372549 0.82352941 1.        ]
104.44.7.197,[0.49803922 0.49803922 0.49803922 1.        ]
104.44.7.244,[0.49803922 0.49803922 0.49803922 1.        ]
104.44.11.98,[0.78039216 0.78039216 0.78039216 1.        ]
20.248.131.216,[0.7372549  0.74117647 0.13333333 1.        ]
