ip,ttl,mean_rtt,target
192.168.100.1,1,46.57739003499349,20.248.131.216
100.65.192.3,2,43.869694073994964,20.248.131.216
10.2.186.125,3,39.9415095647176,20.248.131.216
10.0.1.96,4,11.155968242221412,20.248.131.216
170.51.254.172,5,74.69722694820827,20.248.131.216
104.44.196.39,6,46.201769132462786,20.248.131.216
104.44.231.100,7,82.2006388316079,20.248.131.216
104.44.34.20,8,410.0681142201501,20.248.131.216
104.44.28.27,9,103.72025576557702,20.248.131.216
104.44.28.203,10,383.3596506980461,20.248.131.216
104.44.17.175,11,107.16568238860344,20.248.131.216
104.44.29.145,12,420.8399414288403,20.248.131.216
104.44.29.9,13,118.86619119986064,20.248.131.216
104.44.7.145,14,347.78311064696146,20.248.131.216
104.44.18.56,15,99.97921115255464,20.248.131.216
104.44.16.49,16,361.0837367564825,20.248.131.216
104.44.7.43,17,192.12883438762134,20.248.131.216
104.44.17.68,18,151.02184930137483,20.248.131.216
104.44.17.20,19,364.9870284528368,20.248.131.216
104.44.7.197,20,213.93696783673425,20.248.131.216
104.44.7.244,21,274.8090156049367,20.248.131.216
104.44.11.98,22,215.45330999982008,20.248.131.216
20.248.131.216,28,320.27174855534963,20.248.131.216
